timestamp,predictedValue,mean,standardDeviation
2023-08-14 00:00:00+00:00,3.4142354,0.2669275999069214,1.1755400896072388
2023-08-14 01:00:00+00:00,3.398204,0.2669275999069214,1.1755400896072388
2023-08-14 02:00:00+00:00,3.3856635,0.2669275999069214,1.1755400896072388
2023-08-14 03:00:00+00:00,3.376971,0.2669275999069214,1.1755400896072388
2023-08-14 04:00:00+00:00,3.372023,0.2669275999069214,1.1755400896072388
2023-08-14 05:00:00+00:00,3.3713214,0.2669275999069214,1.1755400896072388
2023-08-14 06:00:00+00:00,3.3796022,0.2669275999069214,1.1755400896072388
2023-08-14 07:00:00+00:00,3.4238508,0.2669275999069214,1.1755400896072388
2023-08-14 08:00:00+00:00,3.4722424,0.2669275999069214,1.1755400896072388
2023-08-14 09:00:00+00:00,3.526886,0.2669275999069214,1.1755400896072388
2023-08-14 10:00:00+00:00,3.5694,0.2669275999069214,1.1755400896072388
2023-08-14 11:00:00+00:00,3.5913773,0.2669275999069214,1.1755400896072388
2023-08-14 12:00:00+00:00,3.589966,0.2669275999069214,1.1755400896072388
2023-08-14 13:00:00+00:00,3.5599105,0.2669275999069214,1.1755400896072388
2023-08-14 14:00:00+00:00,3.520763,0.2669275999069214,1.1755400896072388
2023-08-14 15:00:00+00:00,3.4665618,0.2669275999069214,1.1755400896072388
2023-08-14 16:00:00+00:00,3.3983605,0.2669275999069214,1.1755400896072388
2023-08-14 17:00:00+00:00,3.3270135,0.2669275999069214,1.1755400896072388
2023-08-14 18:00:00+00:00,3.2540379,0.2669275999069214,1.1755400896072388
2023-08-14 19:00:00+00:00,3.1770813,0.2669275999069214,1.1755400896072388
2023-08-14 20:00:00+00:00,3.0899596,0.2669275999069214,1.1755400896072388
2023-08-14 21:00:00+00:00,2.9925306,0.2669275999069214,1.1755400896072388
2023-08-14 22:00:00+00:00,2.8902073,0.2669275999069214,1.1755400896072388
2023-08-14 23:00:00+00:00,2.7883983,0.2669275999069214,1.1755400896072388
